ID,Marke,Name,Hauptfamilie,Unterfamilie,Duftpyramide,Duftrichtung,Charakter,Assoziation,Anlass,Saison,Haltbarkeit,Sillage,Besonderheit,Marke,Name,Meine Bewertung,Mein Kommentar,Verkaeufer,Kommentar,
278,Zoologist,Camel,Orientalisch,Fruchtig / Harzig / Tabak,"Kopf: Getrocknete Früchte, Weihrauch, Rose, Dattelpalme
Herz: Räucherharz, Myrrhe, Zimt, Orangenblüte, Amber, Zeder, Jasmin
Basis: Civet, Animalischer Moschus, Sandelholz, Oud, Tonkabohne, Vanille, Vetiver","würzig, harzig, fruchtig, animalisch, rauchig","exotisch, dekadent, reich","Karawanenreise durch die Wüste mit Datteln, Gewürzen und Rauch","Abend, Statement","Herbst, Winter",8–10 h,stark,animalischer Orientale mit getrockneten Früchten und opulentem Harz,Zoologist,Camel,,,tryasample,,
279,Yves Saint Laurent,Babycat,Orientalisch,Vanille / Weihrauch / Würzig,"Kopf: Rosa Pfeffer, Schwarzer Pfeffer, Elemi
Herz: Weihrauch, Myrrhe, Labdanum
Basis: Wildleder, Bourbon-Vanille, Zedernholz","warm, rauchig, ledrig, süß","verführerisch, jung, luxuriös",Katzenjunges im Samt-Velours – weiche Ledernoten und würzige Vanille,"Abend, Date, Herbstabende","Herbst, Winter",7–9 h,stark,"neuere Kreation aus der „Le Vestiaire“-Kollektion, verbindet Weihrauch mit Vanille-Leder",Yves Saint Laurent,Babycat,,,tryasample,,
280,L’Artisan Parfumeur,Passage d’Enfer,Orientalisch,Floral / Holzig / Weihrauch,"Kopf: Lilie, weicher Weihrauch
Herz: Moschus, Rose, Aloeholz
Basis: Zedernholz, Sandelholz, Vanille","sanft, rauchig, floral, holzig","ätherisch, melancholisch, rein",verlassene Kapelle in der Dämmerung – Lilienblüten und rauchende Harze,"Alltag, ruhige Momente","Herbst, Frühling",5–7 h,moderat,zarte Interpretation von Weihrauch und Lilie mit Moschus,L’Artisan Parfumeur,Passage d’Enfer,,,Parfums Lubner,wichtig,
281,L’Artisan Parfumeur,Passage d’Enfer Extrême,Orientalisch,Floral / Holzig / Vanille / Weihrauch,"Kopf: Weihrauch, Moschus
Herz: Lilie, Milch, Hölzer
Basis: Vanille, Amber, Patchouli","cremig, süß, rauchig","kuschelig, gourmand, mystisch","Kerzenlicht in einer Kapelle, cremige Milch und süßer Weihrauch","Abend, Winterabende","Herbst, Winter",6–8 h,moderat,intensiviert das Original durch süße Milch- und Vanille-Noten,L’Artisan Parfumeur,Passage d’Enfer Extrême,,,Parfums Lubner,wichtig,
282,Phaedon,Tabac Rouge,Orientalisch,Tabak / Vanille / Würzig,"Kopf: Zimt, Ingwer, Honig
Herz: Tabakblatt, Kakao, Tonkabohne
Basis: Ambra, Oud, Styrax, Trockenfrüchte","süß, würzig, rauchig, harzig","warm, gourmand, exotisch",Honigüberzogene Tabakblätter mit orientalischen Gewürzen in einem Basar,"Abend, Winter","Herbst, Winter",7–9 h,stark,"reiches, honig-süßes Tabak-Parfum mit Gewürzen",Phaedon,Tabac Rouge,,,?,,
283,Al Haramain,Amber Oud Tobacco Edition,Orientalisch,Oud / Tabak / Vanille / Würzig,"Kopf: Zimt, Muskat, Ingwer, Schwarzer Pfeffer
Herz: Tonkabohne, Kakao, Vanille, Tabakblatt
Basis: Trockenfrüchte, Oud, Amber, Moschus","süß, würzig, rauchig, oud","opulent, dunkel, gourmand",luxuriöse Zigarrenlounge mit Gewürzgebäck und süßem Tabak,"Abend, besondere Anlässe","Herbst, Winter",10 h+,sehr stark,inspiriert von Tobacco Vanille; intensiver Gewürz-Vanille-Tabak-Duft,Al Haramain,Amber Oud Tobacco Edition,0.75,"suesse nelke, interessant, gut, weihnachtsgewuerze, orangig, am ende orange-vanille und mit viel fantasy tabakrauch
rauchige orangen-zimt-vanille",tryasample,,
284,Franck Boclet,Tobacco,Orientalisch,Holzig / Tabak / Vanille / Würzig,"Kopf: Ingwer, Tabakblätter
Herz: Tonkabohne, Zimt, Zedernholz
Basis: Benzoin, Vanille, Sandelholz, Vetiver","süß, rauchig, warm, holzig","opulent, gourmand, maskulin",winterliche Lodge mit brennendem Feuer und süßem Tabakdessert,"Abend, Date","Herbst, Winter",8–10 h,stark,reicher Tabakduft mit würziger Vanille und harzigem Benzoin,Franck Boclet,Tobacco,,,?,,
285,Houbigant,Tabac Nomade,Orientalisch,Harzig / Leder / Tabak / Würzig,"Kopf: Gewürze, Rose. Bergamotte
Herz: Tabakblatt, Tonkabohne, Safran
Basis: Vanille, Leder","würzig, rauchig, süß, ledrig","exotisch, reich, opulent","Zigeunerlager im Morgengrauen: Kräuter, Tabak und warmes Leder","Abend, Abenteuer","Herbst, Winter",8 h+,stark,moderner Tabakduft mit intensivem Anis-Honig-Akkord,Houbigant,Tabac Nomade,0.3,"kuenstlich ledrig suess, das viel zu prominente leder gefaellt gar nicht",50ml,,
286,Jusbox,Beat Café,Orientalisch,Kaffee / Leder / Tabak / Vanille,"Kopf: Pfeffer, Zimt, Weihrauch
Herz: Kaffee, Leder, Tabakblüte
Basis: Patchouli, Vanille, Vetiver","würzig, kaffeelastig, ledrig, süß","retro, bohemian, rauchig","1960er-Künstlercafé mit Espresso, Tabak und Ledersesseln","Abend, künstlerische Events","Herbst, Winter",6–8 h,moderat,inspiriert von Beatmusik-Ära; warmer Kaffee-Leather-Akkord,Jusbox,Beat Café,,,"Alsterhaus, 50ml",,
287,Meo Fusciuni,Narcotico,Orientalisch,Harzig / Oud / Vanille / Weihrauch,"Kopf: Bitterorange, Gewürznelke, Jasmin
Herz: Myrrhe, Weihrauch, Patchouli
Basis: Amber, Labdanum, Sandelholz, Tonkabohne","harzig, süß, rauchig, orientalisch","dunkel, mystisch, berauschend","geheimnisvolles Opiumhaus – dichter Rauch, süße Harze und Gewürze","Abend, meditative Stunden","Herbst, Winter",8–9 h,stark,intensiver Harzduft; sensuell und hypnotisch,Meo Fusciuni,Narcotico,0.2,"startet mit thymian wie aramis aber schwer mit mehr, kraeuterig/anderes/opium?, nicht so meins",50ml,,"patchouli, weihrauch"
288,Filippo Sorcinelli,Reliqvia,Orientalisch,Harzig / Holzig / Rauchig / Weihrauch,"Kopf: Weihrauch, Rauchige Noten
Herz: Myrrhe, Labdanum, Bienenwachs
Basis: Amber, Styrax, Oud, Holzrauch","rauchig, balsamisch, ledrig","sakral, tief, meditativ","antiker Reliquienschrein – verbranntes Holz, Myrrhe und heiliges Harz","Ritual, Meditation","Herbst, Winter",8–10 h,sehr stark,nischiger Duft mit sakralem Charakter; intensive Rauch-Harz-Komposition,Filippo Sorcinelli,Reliqvia,,,"50ml, Parfums Lubner",,
289,Lalique,Oriental Zinc,Orientalisch,Harzig / Holzig / Würzig,"Kopf: Bergamotte, Kardamom, rosa Beeren
Herz: Jasmin, Haselnuss, Praliné
Basis: Patchouli, Tonkabohne, Ambroxan","süß, würzig, nussig, ambriert","modern, verführerisch, warm",exotischer Nachtmarkt mit gerösteten Nüssen und exotischen Gewürzen,"Abend, Freizeit","Herbst, Winter",6–8 h,moderat,Teil der „Les Compositions Parfumées“; verbindet Gourmandnoten mit mineralischem Ambroxan,Lalique,Oriental Zinc,,,?,,
290,Mind Games,As-Suli’s Diamond,Orientalisch,Oud / Vanille / Würzig,"Kopf: Safran, Aprikose, rosa Pfeffer
Herz: Jasmin, Leder, Iritisches Harz
Basis: Amber, Patchouli, Zedernholz, Moschus","warm, ledrig, würzig, harzig","opulent, luxuriös, kraftvoll","antike Schatzkammer mit Edelsteinen, Saffran und weichen Ledern","Abend, besondere Anlässe","Herbst, Winter",8–10 h,stark,inspiriert vom berühmten arabischen Schachmeister As‑Suli; reiches Leder-Safran-Profil,Mind Games,As-Suli’s Diamond,,,Parfums Lubner,wichtig,
291,Bon Parfumeur,403 Myrrh Shadow,Orientalisch,Harzig / Myrrhe / Weihrauch / Würzig,"Kopf: Rosa Pfeffer, Weihrauch
Herz: Myrrhe, Benzoe, Schokolade
Basis: Tonkabohne, Vanille, Patchouli","süß, warm, harzig, würzig","cozy, sinnlich, dunkel","Schokoladenladen in der Dämmerung, Weihrauchschwaden im Hintergrund","Abend, entspannte Abende","Herbst, Winter",6–7 h,moderat,gourmand-Interpretation der mythischen Myrrhe mit dunkler Schokoladennote,Bon Parfumeur,403 Myrrh Shadow,,,"Alsterhaus, 50ml",,
292,Viktor & Rolf,Spicebomb (EdT),Orientalisch,Leder / Tabak / Würzig,"Kopf: Bergamotte, Grapefruit, Elemi, Rosa Pfeffer
Herz: Zimt, Safran, Paprika
Basis: Tabak, Leder, Vetiver","würzig, süß, rauchig, warm","explosiv, maskulin, sexy",Granate voller Gewürze – intensiver Zimtdampf mit Tabakrauch,"Abend, Party","Herbst, Winter",7–8 h,stark,ikonischer Flakon in Handgranatenform; gewürzlastiger Bestseller,Viktor & Rolf,Spicebomb (EdT),,,tryasample,,
293,Reyane Tradition,Insurrection II Wild,Orientalisch,Holzig / Tabak / Vanille / Würzig,"Kopf: Rum, Bergamotte, Zimt
Herz: Tabak, Vanille, Kakao
Basis: Holznoten, Amber, Moschus","süß, würzig, rauchig, boozy","dunkel, warm, verführerisch",Zigarrenlounge mit Rumcocktails und Vanillekuchen,"Abend, Winter","Herbst, Winter",8–10 h,stark,preiswerter Duft im Stil von „Tobacco Vanille“ mit kräftiger Rumnote,Reyane Tradition,Insurrection II Wild,,,,EUR30 => blind buy? schlechte ratings!,
294,The Dua Brand,When in Havana,Orientalisch,Spirituosen / Tabak / Vanille / Würzig,"Kopf: Gewürznelke, Zimt, Ingwer
Herz: Kakao, Tabakblätter, Tonkabohne
Basis: Vanille, Trockenfrüchte, Amber, Holz","süß, würzig, rauchig, gourmand","tropisch, opulent, kuschelig","kubanischer Tabakmarkt mit Gewürzen, Schokolade und Vanille","Abend, Date","Herbst, Winter",7–9 h,stark,Duftzwilling von „Tobacco Vanille“; intensiv würzig-süß,The Dua Brand,When in Havana,,,,EUR20 => blind buy? schlechte ratings!,
295,Dior,Vanilla Diorama,Orientalisch,Gourmand / Spirituosen / Vanille,"Kopf: Orange, Gewürze, Rum
Herz: Bourbon‑Vanille, Kakao, Kardamom
Basis: Patchouli, Sandelholz, Rum-Absolue","süß, cremig, würzig, warm","luxuriös, gourmand, elegant","Pariser Dessertsalon mit Vanillecreme, Schokolade und Rumpralinen","Abend, Genussmomente","Herbst, Winter",7–8 h,moderat,Hommage an Christian Diors Lieblingsdessert; raffinierte Vanille,Dior,Vanilla Diorama,,,Alsterhaus,wichtig,
267,Profumum Roma,Ambra Aurea,Orientalisch,Balsamisch / Harzig,"Lineare Noten: Amber, Myrrhe, Weihrauch","rauchig, harzig, süß, balsamisch, animalisch","warm, opulent, meditativ",antiker Tempel mit brennendem Bernstein und dunklen Harzen,"Abend, Meditation","Herbst, Winter",12 h+,sehr stark,"reiner, harziger Amber‑Duft mit enormer Haltbarkeit und sillage",Profumum Roma,Ambra Aurea,,,Parfums Lubner,wichtig,
297,Narciso Rodriguez,Narciso (EdP 2014),Floral,Holzig / Moschus / Pudrig,"Kopf: Gardenie, Bulgarische Rose
Herz: Moschus
Basis: Zedernholz, Vetiver","blumig, cremig, moschusartig","elegant, sinnlich, dezent",weiße Blüte auf Haut – seidig-weiches Moschusbett,"Alltag, Date","Frühling, Herbst",6–7 h,moderat ,,Narciso Rodriguez,Narciso (EdP 2014),,,"Douglas Jungfernstieg, Douglas EEZ, Douglas Mercado",,
298,Mind Games,Grand Master,Orientalisch,Holzig / Oud / Vanille / Würzig,"Kopf: Safran, Pfeffer, Lavendel
Herz: Leder, Honig, Osmathus, Labdanum
Basis: Oud, Patchouli, Tonkabohne, Vetiver","warm, ledrig, süß, würzig","majestätisch, kraftvoll, intrigierend","Schachsaal eines Königs – lederbezogene Stühle, Honigwein und Oudrauch","Abend, formelle Anlässe","Herbst, Winter",8–10 h,stark,reiche Leder-Honig-Komposition aus der Schachkollektion; starke Aura,Mind Games,Grand Master,,,Parfums Lubner,,
299,Comme des Garçons,Series 3: Incense – Kyoto,Orientalisch,Holzig / Kräuterig / Weihrauch,"Kopf: Zypresse, Weihrauch
Herz: Patchouli, Vetiver, Nadelholz
Basis: Kaffee, Ambra, Teakholz","rauchig, holzig, trocken","meditativ, beruhigend, spirituell",Zen-Tempel in Kyoto – duftende Zedernstämme und aufsteigender Räucherduft,"Meditation, ruhige Abende","Herbst, Winter",6–7 h,moderat,"Teil der „Incense“-Serie, inspiriert von fünf heiligen Stätten weltweit",Comme des Garçons,Series 3: Incense – Kyoto,,,?,wichtig,
300,Bon Parfumeur,603 Cuir Encens Fève Tonka,Ledrig,Tonka / Weihrauch / Würzig,"Kopf: Veilchenblatt, Zitrone, Muskatnuss
Herz: Olibanum, Muskatellersalbei, Zypresse
Basis: Cashmeran, Leder, Tonkabohne","ledrig, würzig, grün, süß","raffiniert, warm, modern",elegante Lederjacke im Kräuterwind – Weihrauch und cremige Tonkabohne,"Alltag, Abend","Herbst, Winter",6–8 h,moderat,ungewöhnliche grüne Ledernote mit Weihrauch und Tonka,Bon Parfumeur,603 Cuir Encens Fève Tonka,,,Alsterhaus,,
301,Farmacia SS. Annunziata,Via dell’Incenso,Orientalisch,Harzig / Holzig / Weihrauch,"Kopf: Weihrauch, Elemi
Herz: Myrrhe, Jasmin, Rose
Basis: Patchouli, Vetiver, Amber","rauchig, harzig, warm","spirituell, klassisch, kraftvoll","mittelalterlicher Kreuzgang – Stein, Weihrauch und zarte Blüten","Meditation, Abendgottesdienst","Herbst, Winter",7–8 h,stark,traditionelle Weihrauchkomposition mit floraler Herznote,Farmacia SS. Annunziata,Via dell’Incenso,,,Parfums Lubner,,
302,Aedes de Venustas,Copal Azur,Orientalisch,Aquatisch / Salzig / Weihrauch,"Kopf: Ozonische Noten, Meerbrise, Ambrette
Herz: Copalharz (Pech), Weihrauch, Patchouli, Styrax
Basis: Vanille, Amber, Labdanum, Zypresse","harzig, frisch, maritim, warm","exotisch, beruhigend, modern",marine Luft vermischt sich mit heiligem Copalrauch und cremiger Vanille,"Abend, Kunstgalerien",Ganzjährig,7–8 h,moderat,seltene Verwendung von Copalharz; maritimes Harz-Parfum,Aedes de Venustas,Copal Azur,,,50ml,,"vllt nicht tragbar, aehnlich cardinal"
303,Aedes de Venustas,Encens Japonais,Orientalisch,Holzig / Kräuterig / Weihrauch,"Kopf: Koriander, Kardamom, Gewürznelke
Herz: Cashmereholz, Patchouli, Labdanum
Basis: Weihrauch, Zedernholz, Vanille","rauchig, würzig, holzig","mystisch, elegant, dunkel",Nishi-Honganji-Tempel bei Nacht – würziger Rauch und weiches Holz,"Abend, Meditation","Herbst, Winter",7–8 h,moderat,Interpretation japanischer Tempel-Incense; warm und sinnlich,Aedes de Venustas,Encens Japonais,0.2,"erst leder, dann kraeuter/aetherische oele, das mag ich nicht",50ml,,
304,Serge Lutens,Bornéo 1834,Orientalisch,Gourmand / Harzig / Patchouli / Tabak,"Kopf: Patchouli, Kampher, Kardamom
Herz: Kakao, Galbanum, Labdanum
Basis: Zeder, Sandelholz, Vanille","erdig, schokoladig, harzig","dunkel, geheimnisvoll, gourmand","dichter Dschungel auf Borneo – feuchte Erde, dunkle Schokolade und Harze","Abend, besondere Anlässe","Herbst, Winter",8–10 h,stark,kultiger Patchouli-Schokolade-Duft mit exotischem Flair,Serge Lutens,Bornéo 1834,,,?,,
305,Histoires de Parfums,Noir Patchouli,Chypre,Moosig / Patchouli / Würzig,"Kopf: Kardamom, Koriander, Bergamotte
Herz: Patchouli, Rose, Geranie
Basis: Teakholz, Leder, Moschus, Oud","würzig, erdig, ledrig","geheimnisvoll, sinnlich, dunkel",orientalischer Bazar bei Nacht – Gewürzberge und Patchoulistapel,"Abend, Bar","Herbst, Winter",7–9 h,stark,intensiver Patchouli-Duft mit Leder-Oud-Facetten,Histoires de Parfums,Noir Patchouli,,,?,wichtig,kleinstes sample ist 15ml fuer EUR45 bei 50-ml
306,Guerlain,Patchouli Paris,Orientalisch,Harzig / Leder / Patchouli,"Kopf: Rosa Pfeffer, Feige, Ingwer
Herz: Patchouli, Sandelholz
Basis: Tonkabohne, Amber, Leder","holzig, süß, cremig","modern, elegant, urban","Spaziergang durch eine Pariser Passage – warme Feigen, samtige Hölzer","Büro, Abend","Herbst, Winter",6–7 h,moderat,"luxuriöse, zeitgemäße Patchouli-Interpretation mit Feigennote",Guerlain,Patchouli Paris,,,Alsterhaus,,
307,Filippo Sorcinelli,Notre Dame Notte di Natale,Orientalisch,Harzig / Weihrauch / Würzig,"Kopf: Weihrauch, Schwarzpfeffer
Herz: Weihrauch, Myrrhe, Tonkabohne
Basis: Vanille, Sandelholz, Amber, Rauch","süß, rauchig, harzig","mystisch, festlich, gemütlich","Mitternachtsmesse an Heiligabend – Weihrauch, süße Vanilleplätzchen","Festtage, Abend",Winter,8–9 h,stark,Weihrauch-Meditation mit weicher Vanille und Tonka für festliche Stimmung,Filippo Sorcinelli,Notre Dame Notte di Natale,0.7,"leicht beissender baum, baumharzig, es bleibt der der baum/das baumharz aber mit suesser schokolade",50ml,,
308,Filippo Sorcinelli,Sacristie des Arbres,Orientalisch,Harzig / Holzig / Weihrauch,"Kopf: Lärchenharz, Nadeln, Nelke
Herz: Weihrauch, Myrrhe, Patchouli, Vetiver
Basis: Amber, Moos, Zeder, Labdanum","waldig, rauchig, harzig","spirituell, erdig, kühl","stiller Waldaltar, Tannenduft und kalter Stein","Meditation, Naturliebhaber","Herbst, Winter",7–8 h,stark,sakraler Waldduft mit Harz und dunklem Moos; Teil der Kirchenlinie,Filippo Sorcinelli,Sacristie des Arbres,0.7,"baumig/baumharzig, rauchig im hintergrund, wird immer besser",50ml,,
309,Filippo Sorcinelli,Io Non Ho Mani Che Mi Accarezzino Il Volto,Orientalisch,Harzig / Patchouli / Weihrauch,"Kopf: Kaffee, schwarzer Pfeffer
Herz: Weihrauch, Myrrhe, Leder
Basis: Benzoin, Patchouli, Amber, Moschus","rauchig, harzig, ledrig","geheimnisvoll, introspektiv, sakral","gotische Kirche, brennende Kerzen und dunkle Holzstatuen","Abend, Meditation","Herbst, Winter",8–10 h,stark,Unum‑Duft mit sakralem Charakter und ungewöhnlichem Kaffee-Weihrauch-Akkord,Filippo Sorcinelli,Io Non Ho Mani Che Mi Accarezzino Il Volto,0.5,"intensiv, schwer, leicht beissig aetherisch/harzig",50ml,,
310,Filippo Sorcinelli,Quando_rapita_in_estasi,Orientalisch,Floral / Harzig / Weihrauch,"Kopf: Hyazinthe, Iris
Herz: Patchouli, Weihrauch, Jasmin
Basis: Moschus, Labdanum, Civet, Leder","süß, rauchig, floral, animalisch","dramatisch, sinnlich, opernhaft","Opernhaus-Loge, Schwerer Samtvorhang, Blumengirlanden und Rauch","Abend, festliche Anlässe","Herbst, Winter",7–9 h,stark,inspiriert von Opernarien; vereint üppige Blüten mit dunklen Tiernoten,Filippo Sorcinelli,Quando_rapita_in_estasi,,,"50ml, Parfums Lubner",,
311,Les Néréides,Patchouli Antique,Orientalisch,Harzig / Holzig / Patchouli,"Kopf: Patchouli, Geranium
Herz: Sandelholz, Zedernholz, Vetiver
Basis: Labdanum, Benzoin, Vanille","erdig, süß, harzig, holzig","vintage, sinnlich, warm","1970er-Boheme-Lounge – schwerer Patchouli, Räucherstäbchen und weiches Leder","Abend, Nostalgie","Herbst, Winter",6–8 h,moderat,Kultiger Patchouli-Klassiker mit warmer Harzbasis,Les Néréides,Patchouli Antique,,,?,,
312,Lorenzo Villoresi,Patchouli,Orientalisch,Holzig / Patchouli / Würzig,"Kopf: Patchouli, Gewürznelke, Zimt
Herz: Sandelholz, Rosenholz, Zedernholz
Basis: Moschus, Amber, Harze","erdig, würzig, balsamisch, holzig","tief, warm, orientalisch",florentinische Bibliothek voller antiker Bücher und orientalischer Teppiche,"Abend, Herbstabende","Herbst, Winter",7–8 h,stark,"opulente Patchouli-Komposition, die klassische Hölzer und Gewürze vereint",Lorenzo Villoresi,Patchouli,,,"Parfums Lubner, Marc Gebauer",,
313,Frédéric Malle,Monsieur.,Orientalisch,Harzig / Patchouli / Spirituosen,"Kopf: Rum, Mandarine
Herz: Patchouli, Zedernholz, Weihrauch
Basis: Vanille, Amber, Moschus, Suede","warm, erdig, süß, ledrig","charismatisch, opulent, maskulin","Herrenclub im 19. Jahrhundert – Rumgläser, Patchouli und poliertes Leder","Abend, formelle Anlässe","Herbst, Winter",8–10 h,stark,modernes Patchouli-Parfum mit Rum- und Lederakkord von Bruno Jovanovic,Frédéric Malle,Monsieur.,,,"50ml, Alsterhaus",,
314,Escentric Molecules,Molecule 01 + Patchouli,Holzig,Minimalistisch / Patchouli,"Lineare Noten: ISO‑E‑Super (Cetalox), Patchouli-Fraktion","holzig, weich, modern, erdig","subtil, hautnah, urban",warme Haut mit einem Hauch erdiger Patchouli und abstraktem Holz,"Alltag, Layering",Ganzjährig,6–8 h,moderat,verbindet den bekannten molekularen Duft ISO‑E‑Super mit natürlicher Patchouli-Essenz,Escentric Molecules,Molecule 01 + Patchouli,,,"Alsterhaus, 50ml",,
315,Perris Monte Carlo,Patchouli Nosy Be,Orientalisch,Gourmand / Harzig / Patchouli / Vanille,"Kopf: Geranium, Bitterorange
Herz: Patchouli Nosy Be, Cacao-Noten, Sandelholz
Basis: Labdanum, Moschus, Vanille","warm, erdig, gourmand, balsamisch","elegant, exotisch, sinnlich","sonnige Insel Nosy Be – Patchoulyfelder, Kakaobohnen und süße Vanille","Abend, besondere Anlässe","Herbst, Winter",8 h+,stark,Patchouli aus Madagaskar; kombiniert mit dunkler Schokolade,Perris Monte Carlo,Patchouli Nosy Be,0.55,"erst zitrisch, dann kakaoig/suesslich, immer patch im hintergund
kakao-patchouli",50ml,,
316,Profumo di Firenze,Patchouly Rosso,Orientalisch,Harzig / Patchouli / Würzig,"Kopf: Zitrone, Bergamotte
Herz: Patchouli, Rose, Geranie
Basis: Amber, Vanille, Zedernholz","erdig, süß, holzig","mediterran, warm, raffiniert","toskanische Landschaft – Patchoulisträucher, Zitrusbäume und sonnenwarme Hölzer","Alltag, Büro","Herbst, Frühjahr",5–7 h,moderat,Patchouli-Duft mit zitrischer Eröffnung und warmer Vanille-Basis,Profumo di Firenze,Patchouly Rosso,,,?,,EUR5 sample oder 50EUR 50ml bei https://amyrisessenze.com/en-int/products/spezierie-palazzo-vecchio-patchouli-rosso-eau-de-parfum
317,Diptyque,Tam Dao (EdP),Holzig,Würzig,"Kopf: Zeder, Myrte · Herz: Sandelholz, Zypresse
Basis: Gewürz- und Moschusakkord","cremig‑holzig, würzig, grün","meditativ, elegant",buddhistischer Tempel im Zedernwald,"Abend, Meditation","Herbst, Winter","7–8 h, moderat",klassisches Sandelholz-Parfum mit würziger Tiefe,,Diptyque,Tam Dao (EdP),,,,,
318,Diptyque,34 Boulevard Saint Germain,Chypre,Aromatisch / Fruchtig / Grün / Harzig / Holzig / Zitrisch,"Kopf: Nelke, Zimt, Schwarze Johannisbeere, Feigenblatt, Rosa Pfeffer, Grüne Noten, Zitrusfrüchte
Herz: Geranie, Iris, Tuberose, Veilchen, Rose
Basis: Holzige Noten, Harz, Eukalyptus","würzig, floral, holzig, frisch","elegant, vielfältig","Spaziergang durch einen Pariser Concept Store mit Gewürzen, Blumen und Hölzern","Alltag, Büro",Ganzjährig,"6–8 h, moderat","komplexe Mischung aus Würze, Blüten, Hölzern und grünen Akzenten",,Diptyque,34 Boulevard Saint Germain,,,,,
319,Comptoir Sud Pacifique,Rouge Litchi,Floral,Fruchtig,"Kopf: Schwarze Johannisbeere, Grapefruit, Rhabarber
Herz: Litschi, Rambutan, Rose
Basis: Himbeere, Brombeere, Moos","fruchtig, süß, frisch","lebhaft, exotisch","schwimmender Markt mit Litschis, Rambutan und Rosen","Freizeit, Sommerfeste","Frühling, Sommer","4–6 h, moderat",exotische Frucht–Blüten-Balance mit moosigem Schlussakkord,,Comptoir Sud Pacifique,Rouge Litchi,,,,,
320,Comptoir Sud Pacifique,Vanille Passion (EdP),Orientalisch,Moschus / Vanille,"Kopf: Grüne Vanille
Herz: Schwarze Vanille
Basis: Moschus","süß, vanillig, warm","kuschelig, sinnlich",heiße Vanilleschote mit cremigem Kern und weichem Moschus,"Abend, Wohlfühlmomente","Herbst, Winter","6–8 h, stark",harmoniert grüne und schwarze Vanille in einem pudrigen Fond,,Comptoir Sud Pacifique,Vanille Passion (EdP),,,,,
321,Obvious,Milk & Matcha,Gourmand,Aromatisch / Fruchtig / Vanille,"Kopf: Mandarine, Tangerine, Ingwer
Herz: Matcha‑Tee, Mate, Orangenblüte
Basis: Tonkabohne, Vanille, Peru‑Balsam","cremig, grün, süß, würzig","modern, beruhigend",Matcha‑Latte mit Vanille und Zitrus im Teegarten,"Alltag, Nachmittagspause","Frühling, Herbst","5–7 h, moderat","seltene Kombination aus Matcha, Tee und cremiger Vanille",,Obvious,Milk & Matcha,,,,,
322,Penhaligon’s,Blenheim Bouquet,Zitrisch,Aromatisch / Kräuterig / Holzig,"Kopf: Zitrone, Limette, Lavendel (klassische Rezeptur)
Herz: Kiefer, Gewürze
Basis: Moschus, Holznoten","zitrisch, frisch, würzig","klassisch, britisch",englisches Herrenhaus mit Zitrusgarten und Nadelwald,"Büro, formelle Anlässe","Frühling, Sommer","4–6 h, moderat",1902 erschienener Klassiker mit Nadelholz‑ und Zitrusakkord,,Penhaligon’s,Blenheim Bouquet,,,,,
323,Jovoy,Remember Me,Gourmand,Aromatisch / Vanille / Würzig,"Kopf: Kardamom, Zitrone, Bergamotte
Herz: Tee, Ingwer, Frangipani
Basis: Milch, Vanille, Holzige Noten, Zeder","cremig, würzig, blumig","nostalgisch, beruhigend",Masala‑Chai mit Vanillemilch unter einem Frangipani‑Baum,"Abend, entspannte Stunden","Herbst, Winter","6–8 h, stark",,milchiger Chai‑Tee trifft Vanille und tropische Blüte,Jovoy,Remember Me,0.6,"zitrone-sahne-torte-eroeffnung, wird leider seifig",50ml,,
324,Jovoy,Psychédélique,Orientalisch,Patchouli / Vanille,"Kopf: Zitrusnoten
Herz: Patchouli, Amber, Labdanum, Geranie, Rose
Basis: Vanille, Moschus","warm, erdig, süß","opulent, retro",Patchouli‑Festival mit Vanillekuchen im Sonnenuntergang,"Abend, Bohemian‑Events","Herbst, Winter","8–10 h, stark",,intensiver Patchouli‑Amber‑Duft mit Vintage‑Charme,Jovoy,Psychédélique,0.45,"erst starker (bitterer?) patchouli, dann angenehmer, ganz leicht aetherisch (zitrische bitterkeit)
saures patchouli",50ml,,
325,Jovoy,Private Label,Ledrig,Harzig / Holzig / Patchouli,"Kopf: Papyrus, Vetiver
Herz: Patchouli, Labdanum
Basis: Leder, Sandelholz, Zeder","rauchig, erdig, ledrig","geheimnisvoll, opulent","dunkle Bibliothek voller Leder, Papyrus und Weihrauch","Abend, formelle Anlässe","Herbst, Winter","8–10 h, sehr stark",markante Papyrus‑Leder‑Komposition mit harziger Tiefe,,Jovoy,Private Label,,,,,
326,Mancera,Cedrat Boise,Zitrisch,Fruchtig / Holzig / Ledrig / Vanille,"Kopf: Zitrone, Schwarze Johannisbeere, Bergamotte, Gewürzakkord
Herz: Fruchtige Noten, Patchouli, Wasserjasmin
Basis: Zedernholz, Leder, Sandelholz, Vanille, Moschus","zitrisch, fruchtig, holzig, süß","dynamisch, modern",mediterrane Zitrushaine treffen auf Vanilleleder,"Alltag, Date","Frühling, Sommer, Herbst","7–8 h, stark",fruchtig‑zitrischer Bestseller mit cremiger Vanille‑Lederbasis,,Mancera,Cedrat Boise,0.5,"piss-zitrone, langweilig",tryasample,,
327,Essential Parfums,Fig Infusion,,,,,,,,,,,,Essential Parfums,Fig Infusion,0.5,"eiscreme, kaugummi",Parfums Lubner,,
